dataelement,period,orgunit,catoptcombo,attroptcombo,value,storedby,lastupd,comment
WahwaU72IoA,20210731,U2e0Em0PoHU,Xa6TyAHc0bf,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,Ml4vtfj16Zw,Xa6TyAHc0bf,H4eiCaIeZQR,3,,,
WahwaU72IoA,20210731,sR2V8vkNOPe,Xa6TyAHc0bf,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,WKBa4jufxAL,XVygdxRR658,H4eiCaIeZQR,8,,,
ckea6dwOmvC,20210731,fIkkmz67QmR,XVygdxRR658,H4eiCaIeZQR,22,,,
ckea6dwOmvC,20210731,ewUgN5vdakS,XVygdxRR658,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,WYjrgg8pNJG,XVygdxRR658,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,oKRDJgPYyGs,XVygdxRR658,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,rb1hxc5BXUq,XVygdxRR658,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,U2e0Em0PoHU,XVygdxRR658,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,Ml4vtfj16Zw,XVygdxRR658,H4eiCaIeZQR,,,,
ckea6dwOmvC,20210731,sR2V8vkNOPe,XVygdxRR658,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,WKBa4jufxAL,XVygdxRR658,H4eiCaIeZQR,12,,,
WahwaU72IoA,20210731,fIkkmz67QmR,XVygdxRR658,H4eiCaIeZQR,51,,,
WahwaU72IoA,20210731,ewUgN5vdakS,XVygdxRR658,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,WYjrgg8pNJG,XVygdxRR658,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,oKRDJgPYyGs,XVygdxRR658,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,rb1hxc5BXUq,XVygdxRR658,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,U2e0Em0PoHU,XVygdxRR658,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,Ml4vtfj16Zw,XVygdxRR658,H4eiCaIeZQR,,,,
WahwaU72IoA,20210731,sR2V8vkNOPe,XVygdxRR658,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,WKBa4jufxAL,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,fIkkmz67QmR,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,ewUgN5vdakS,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,WYjrgg8pNJG,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,oKRDJgPYyGs,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,rb1hxc5BXUq,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,U2e0Em0PoHU,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,Ml4vtfj16Zw,iESY4hP4ZJe,H4eiCaIeZQR,,,,
As3mznUogRZ,20210731,sR2V8vkNOPe,iESY4hP4ZJe,H4eiCaIeZQR,,,,
qOYSeBL4AXZ,20210731,WKBa4jufxAL,iESY4hP4ZJe,H4eiCaIeZQR,203,,,
qOYSeBL4AXZ,20210731,fIkkmz67QmR,iESY4hP4ZJe,H4eiCaIeZQR,123,,,
qOYSeBL4AXZ,20210731,ewUgN5vdakS,iESY4hP4ZJe,H4eiCaIeZQR,,,,
qOYSeBL4AXZ,20210731,WYjrgg8pNJG,iESY4hP4ZJe,H4eiCaIeZQR,,,,
qOYSeBL4AXZ,20210731,oKRDJgPYyGs,iESY4hP4ZJe,H4eiCaIeZQR,,,,
qOYSeBL4AXZ,20210731,rb1hxc5BXUq,iESY4hP4ZJe,H4eiCaIeZQR,,,,
